"","Zone_4","build_year","Fuel_1","unit_type","name","GENERATION_PROJECT"
"1","HV",1908,"WAT","HY",13.1,"HV-WAT_HY"
"2","HV",1909,"WAT","HY",2.4,"HV-WAT_HY"
"3","HV",1911,"WAT","HY",3.8,"HV-WAT_HY"
"4","HV",1915,"WAT","HY",14.4,"HV-WAT_HY"
"5","HV",1919,"WAT","HY",1.2,"HV-WAT_HY"
"6","HV",1920,"WAT","HY",6.15,"HV-WAT_HY"
"7","HV",1922,"WAT","HY",7.2,"HV-WAT_HY"
"8","HV",1923,"WAT","HY",33.3,"HV-WAT_HY"
"9","HV",1924,"WAT","HY",57.2,"HV-WAT_HY"
"10","HV",1926,"WAT","HY",1,"HV-WAT_HY"
"11","HV",1927,"WAT","HY",10.8,"HV-WAT_HY"
"12","HV",1930,"WAT","HY",64.6,"HV-WAT_HY"
"13","HV",1951,"NG","ST",72,"HV-NG_ST"
"14","HV",1952,"WAT","HY",30,"HV-WAT_HY"
"15","HV",1953,"WAT","HY",25,"HV-WAT_HY"
"16","HV",1954,"NG","ST",73.5,"HV-NG_ST"
"17","HV",1956,"WAT","HY",18,"HV-WAT_HY"
"18","HV",1959,"NG","ST",147.1,"HV-NG_ST"
"19","HV",1967,"NG","ST",239.4,"HV-NG_ST"
"20","HV",1969,"KER","GT",21.6,"HV-KER_GT"
"21","HV",1970,"KER","GT",21.6,"HV-KER_GT"
"22","HV",1971,"NG","JE",88.4,"HV-NG_JE"
"23","HV",1971,"WAT","HY",6,"HV-WAT_HY"
"24","HV",1972,"NG","ST",621,"HV-NG_ST"
"25","HV",1973,"UR","NP",1299,"HV-UR_NP"
"26","HV",1973,"WAT","PS",1160,"HV-WAT_PS"
"27","HV",1974,"FO6","ST",1242,"HV-FO6_ST"
"28","HV",1974,"NG","ST",621,"HV-NG_ST"
"29","HV",1974,"WAT","HY",7.2,"HV-WAT_HY"
"30","HV",1976,"UR","NP",1012,"HV-UR_NP"
"31","HV",1982,"WAT","HY",4.6,"HV-WAT_HY"
"32","HV",1983,"WAT","HY",21.8,"HV-WAT_HY"
"33","HV",1984,"REF","ST",59.7,"HV-REF_ST"
"34","HV",1985,"WAT","HY",7.7,"HV-WAT_HY"
"35","HV",1986,"WAT","HY",71.3,"HV-WAT_HY"
"36","HV",1987,"NG","IC",3,"HV-NG_IC"
"37","HV",1987,"REF","ST",9.2,"HV-REF_ST"
"38","HV",1987,"WAT","HY",25.25,"HV-WAT_HY"
"39","HV",1988,"MTE","IC",5.5,"HV-MTE_IC"
"40","HV",1988,"WAT","HY",13,"HV-WAT_HY"
"41","HV",1989,"WAT","HY",31.2,"HV-WAT_HY"
"42","HV",1990,"WAT","HY",11.4,"HV-WAT_HY"
"43","HV",1991,"REF","ST",14.4,"HV-REF_ST"
"44","HV",1991,"WAT","HY",23.2,"HV-WAT_HY"
"45","HV",1992,"NG","CC",179.2,"HV-NG_CC"
"46","HV",1992,"WAT","HY",0.5,"HV-WAT_HY"
"47","HV",1993,"NG","CC",96.9,"HV-NG_CC"
"48","HV",1993,"WAT","HY",4.3,"HV-WAT_HY"
"49","HV",1994,"NG","CC",338.8,"HV-NG_CC"
"50","HV",1994,"WAT","HY",13.8,"HV-WAT_HY"
"51","HV",1995,"NG","CC",147,"HV-NG_CC"
"52","HV",1995,"WAT","HY",44.6,"HV-WAT_HY"
"53","HV",1998,"MTE","IC",5.6,"HV-MTE_IC"
"54","HV",2004,"NG","CC",1323,"HV-NG_CC"
"55","HV",2005,"NG","CC",893.1,"HV-NG_CC"
"56","HV",2005,"WAT","HY",3.8,"HV-WAT_HY"
"57","HV",2006,"MTE","IC",6.4,"HV-MTE_IC"
"58","HV",2009,"NG","IC",0,"HV-NG_IC"
"59","HV",2009,"WAT","HY",NA,"HV-WAT_HY"
"60","HV",2010,"FW","ES",20,"HV-FW_ES"
"61","HV",2010,"MTE","IC",3.9,"HV-MTE_IC"
"62","HV",2010,"NG","CC",670,"HV-NG_CC"
"63","HV",2013,"WAT","HY",9.5,"HV-WAT_HY"
"64","HV",2018,"NG","CC",770,"HV-NG_CC"
"65","LI",1942,"FO2","IC",2,"LI-FO2_IC"
"66","LI",1949,"FO2","IC",2.9,"LI-FO2_IC"
"67","LI",1954,"FO2","IC",10.1,"LI-FO2_IC"
"68","LI",1956,"NG","ST",188,"LI-NG_ST"
"69","LI",1957,"FO2","IC",1.2,"LI-FO2_IC"
